Modified/Downloaded Timestamp	Title	Description	Provider URI	Save Location	Mime Type	App Provider Package	Current Bytes	Total Bytes	Status	Error Message	ETAG	Visible in Downloads UI	Deleted
2023-05-01 13:21:21			https://www.gstatic.com/suggest-dev/brain/brain_en_au_201705_arm64_release_signed.jar			com.google.android.googlequicksearchbox	0	-1	190			No	
2023-05-01 13:22:16	Downloading English (US)	Offline speech recognition data	https://dl.google.com/android/voice/soda/en-US/v7017/soda-en-US-v7017.zip?extraforlog=av%3A13.17.16.29.arm64%3Bf%3A0%3Btv%3A7017%3Bpv%3A3006%3Bs%3A2			com.google.android.googlequicksearchbox	0	-1	190			No	
2023-05-01 13:22:39	model.smfb.metadata		https://www.gstatic.com/android/text_classifier/langid/q/v1/model.smfb.metadata	/data/data/com.android.providers.downloads/cache/model.smfb.metadata	text/html	com.google.android.configupdater	383	0	200			No	
2023-05-01 13:22:39	en.fb.metadata		https://www.gstatic.com/android/text_classifier/s/v902/en.fb.metadata	/data/data/com.android.providers.downloads/cache/en.fb.metadata	text/html	com.google.android.configupdater	385	385	200			No	
2023-05-01 13:22:39	en.model.metadata		https://www.gstatic.com/android/text_classifier/actions/q/v104/en.model.metadata	/data/data/com.android.providers.downloads/cache/en.model.metadata	text/html	com.google.android.configupdater	385	385	200			No	
2023-05-01 13:22:44	08202014-metadata.txt		https://www.gstatic.com/android/config_update/08202014-metadata.txt	/data/data/com.android.providers.downloads/cache/08202014-metadata.txt	text/plain	com.google.android.configupdater	384	384	200			No	
2023-05-01 13:22:44	07042022-sms-denylist-metadata.txt		https://www.gstatic.com/android/config_update/07042022-sms-denylist-metadata.txt	/data/data/com.android.providers.downloads/cache/07042022-sms-denylist-metadata.txt	text/plain	com.google.android.configupdater	384	384	200			No	
2023-05-01 13:33:40			https://rr4---sn-uxanug5-2xgd.gvt1.com/play-apps-download-default/download/by-id/AF3DWBcPyOghWqybwzPGzUbuyExVUwnT_qf7AKNIcOTAawHHDfgt0YFVIUexFX-UNZaUpwKL2wW1Znfw4sA0fn1rFAndOTGe0wC3hZwJEhroZT6Q7Xfa_wYkOAZ625xpGfkVU7SPlzB2?cpn=60mt0dqyIgaiKBkf&fexp=20580244&fvip=5&initcwndbps=1395000&mh=66&mm=31,29&mn=sn-uxanug5-2xgd,sn-hxa7zn7z&ms=au,rdu&mt=1682947505&mv=m&mvi=4&pl=44&expire=1685367220&ip=2001:8004:1100:7260:64ef:64ff:c8a3:e4c9&ipbits=0&sparams=expire,ipbits,ip,q:,initcwndbps,mh,mm,mn,ms,mv,mvi,pl&signature=2BC604295BE1BB28838E695C93DB72BA3BE7B2A5.A49423E822AF5152C05FBEAAFCA23A7CF4957789&key=am3&playpn=MQ..			com.android.vending	0	-1	190			No	
2023-05-02 13:45:54	Downloading English (US)	Offline speech recognition data	https://dl.google.com/android/voice/soda/en-US/v7017/soda-en-US-v7017.zip?extraforlog=av%3A13.17.16.29.arm64%3Bf%3A0%3Btv%3A7017%3Bpv%3A3006%3Bs%3A2			com.google.android.googlequicksearchbox	0	-1	190			No	
2023-05-03 13:28:40	Downloading English (US)	Offline speech recognition data	https://dl.google.com/android/voice/soda/en-US/v7017/soda-en-US-v7017.zip?extraforlog=av%3A13.17.16.29.arm64%3Bf%3A0%3Btv%3A7017%3Bpv%3A3006%3Bs%3A2			com.google.android.googlequicksearchbox	0	-1	190			No	
2023-05-05 15:05:25	Downloading English (US)	Offline speech recognition data	https://dl.google.com/android/voice/soda/en-US/v7017/soda-en-US-v7017.zip?extraforlog=av%3A13.17.16.29.arm64%3Bf%3A0%3Btv%3A7017%3Bpv%3A3006%3Bs%3A2			com.google.android.googlequicksearchbox	0	-1	190			No	
